,重点符号,序号,英文原型,词性,中文释义,音标
426,,6.0,refuse,v.,拒绝，不愿,"[rɪˈfjuːz , ˈrefjuːs]"
427,,7.0,receive,v.,收到，得到,[rɪˈsiːv]
428,,8.0,against,prep.,对着；反对；靠着，倚着,[əˈɡenst]
429,,1.0,except,prep.,除……之外,[ɪkˈsept]
430,,2.0,include,v.,包含，包括,[ɪnˈkluːd]
431,,3.0,but,conj.,但是，可是,"[bət , bʌt]"
432,,4.0,besides,prep.,除了……（还有）,[bɪˈsaɪdz]
433,,5.0,with,prep.,有；和；用；以；关于；带有,[wɪð]
434,,6.0,without,prep.,没有,[wɪˈðaʊt]
435,,1.0,general,adj.,大体上的，笼统的，总的,[ˈdʒenrəl]
436,,2.0,normal,adj.&n.,正常的；正常,[ˈnɔːml]
437,,3.0,usual,adj.,平常的，通常的,[ˈjuːʒuəl]
438,,4.0,special,adj.,特别的，专门的,[ˈspeʃl]
439,*,5.0,common,adj.,普遍的，一般的；共有的,[ˈkɒmən]
440,*,1.0,add,v.,添加，增加,[æd]
441,,2.0,increase,v.&n.,增加，繁殖 n. 增加，增大，增长,"[ɪnˈkriːs , ˈɪŋkriːs]"
442,,3.0,improve,v.,改进，更新,[ɪmˈpruːv]
443,,4.0,progress,n.,进步，上进,"[ˈprəʊɡres , prəˈɡres]"
444,,5.0,rise,v.,上升，上涨,[raɪz]
445,,6.0,develop,v.,(使)发展；（使）发达；（使）发育；开发；冲洗（照片）,[dɪˈveləp]
446,*,7.0,development,n.,发展，发达，发育，开发,[dɪˈveləpmənt]
447,,8.0,grow,v.,生长；发育；种植；变成,[ɡrəʊ]
448,,9.0,fall,v.,落（下）；降落，倒,[fɔːl]
449,,10.0,drop,v.,掉下，落下；投递；,[drɒp]
450,,1.0,wait,v.,等候，等,[weɪt]
451,*,2.0,continue,v.,继续,[kənˈtɪnjuː]
452,,1.0,never,adv.,决不，从来没有,[ˈnevə(r)]
453,,2.0,hardly,adv.,几乎不,[ˈhɑːdli]
454,,3.0,sometimes,adv.,有时＝at times,[ˈsʌmtaɪmz]
455,,4.0,often,adv.,常常；经常,[ˈɒfn]
456,,5.0,usually,adv.,通常,[ˈjuːʒuəli]
457,,6.0,always,adv.,总是；一直；永远,[ˈɔːlweɪz]
458,,7.0,once,adv.,一次，一度，从前,[wʌns]
459,,8.0,twice,adv.,两次；两倍,[twaɪs]
460,*,9.0,daily,adj.,每日的；日常的,[ˈdeɪli]
461,,10.0,every,adj.,每一，每个的,[ˈevri]
462,,11.0,again,adv.,再一次；再，又,[əˈɡen]
463,,1.0,memory,n.,回忆，记忆,[ˈmeməri]
464,,2.0,remember,v.,记得，想起,[rɪˈmembə(r)]
465,,3.0,forget,v.,忘记；忘掉,[fəˈɡet]
466,,4.0,think,v.,想起,[θɪŋk]
467,,1.0,great,adj.,伟大的；重要的；好极了,[ɡreɪt]
468,*,2.0,perfect,adj.,完美的，极好的,"[ˈpɜːfɪkt , pəˈfekt]"
469,,3.0,interesting,adj.,有趣的,[ˈɪntrəstɪŋ]
470,,4.0,easy,adj.,容易的，不费力的,[ˈiːzi]
471,,5.0,wonderful,adj.,美妙的；精彩的；了不起的；太好了,[ˈwʌndəfl]
472,,6.0,pleasant,adj.,令人愉快的，舒适的,[ˈpleznt]
473,,7.0,kind,n.,种；类 adj. 善良的；友好的,[kaɪnd]
474,,8.0,fun,n.,有趣的事；娱乐，玩笑,[fʌn]
475,,9.0,funny,adj.,有趣的，滑稽可笑的,[ˈfʌni]
476,,10.0,warm,adj.,热情的,[wɔːm]
477,*,11.0,magic,adj.,有魔力的,[ˈmædʒɪk]
478,,12.0,fantastic,adj.,奇特的；（口语）极好的，美妙的，很棒的,[fænˈtæstɪk]
479,,13.0,welcome,adj.,受欢迎的,[ˈwelkəm]
480,,14.0,famous,adj.,著名的,[ˈfeɪməs]
481,,15.0,comfortable,adj.,舒服的；安逸的；舒服自在的,[ˈkʌmftəbl]
482,,16.0,terrible,adj.,可怕的；糟糕的,[ˈterəbl]
483,,17.0,boring,adj.,乏味的，无聊的,[ˈbɔːrɪŋ]
484,,18.0,free,adj.,空闲的，自由的；免费的,[friː]
485,,19.0,busy,adj.,忙（碌）的,[ˈbɪzi]
486,,20.0,silent,adj.,无声的，沉默的,[ˈsaɪlənt]
487,*,21.0,silence,n.,沉默,[ˈsaɪləns]
488,*,22.0,ancient,adj.,古代的；古老的,[ˈeɪnʃənt]
489,,23.0,right,adj.,对的，正确的；右，右边的,[raɪt]
490,,24.0,wrong,adj.,错误的，不正常的，有毛病的,[rɒŋ]
491,,25.0,exact,adj.,精确的；确切的,[ɪɡˈzækt]
492,*,26.0,influence,n.,影响，感化，势力,[ˈɪnfluəns]
493,,1.0,have,v.,有；吃；喝；进行；经受,"[hæv , həv]"
494,,2.0,own,adj.,自己的 v. 拥有，所有,[əʊn]
495,,3.0,owner,n.,物主，所有人,[ˈəʊnə(r)]
496,,4.0,appear,v.,出现,[əˈpɪə(r)]
497,*,5.0,remain,v.,保持，仍是；余下，留下,[rɪˈmeɪn]
498,,1.0,necessary,adj.,必要的,[ˈnesəsəri]
499,,2.0,need,n.,需要，需求…… v. 需要，必需,[niːd]
500,*,3.0,require,v.,需求，要求,[rɪˈkwaɪə(r)]
501,*,4.0,supply,n.,供给，供应,[səˈplaɪ]
502,,1.0,instead,adv.,代替，顶替,[ɪnˈsted]
503,,2.0,change,v.,改变，变化；更换；兑换,[tʃeɪndʒ]
504,,1.0,sweep,v.,扫，扫除,[swiːp]
505,,2.0,housework,n.,家务劳动,[ˈhaʊswɜːk]
506,,3.0,clean,v.,弄干净；擦干净,[kliːn]
507,,4.0,wash,v.,洗（涤）；冲洗，流过；弄湿,[wɒʃ]
508,,5.0,water,n.,水,[ˈwɔːtə(r)]
509,,6.0,light,v.,"点燃,点（火）",[laɪt]
510,,7.0,tidy,adj.,整洁的，干净的,[ˈtaɪdi]
511,,8.0,duty,n.,责任，义务,[ˈdjuːti]
512,*,9.0,labour ,n.,劳动,[ˈleɪbə(r)]
513,,1.0,school,n.,学校,[skuːl]
514,,2.0,college,n.,学院；专科学校,[ˈkɒlɪdʒ]
515,,3.0,university,n.,大学,[ˌjuːnɪˈvɜːsəti]
516,,4.0,classroom,n.,教室,[ˈklɑːsruːm]
517,,5.0,grade,n.,年级；成绩，分数；（中小学的）学年,[ɡreɪd]
518,,6.0,class,n.,（学校里的）班；课,[klɑːs]
519,,7.0,blackboard,n.,黑板,[ˈblækbɔːd]
520,,8.0,lab,n.,实验室,[læb]
521,,9.0,office,n.,办公室,[ˈɒfɪs]
522,,10.0,playground,n.,操场，运动场,[ˈpleɪɡraʊnd]
523,,11.0,seat,n.,座位，座,[siːt]
524,,12.0,bell,n.,铃；钟,[bel]
525,,13.0,chalk,n.,粉笔,[tʃɔːk]
526,,14.0,flag,n.,旗；标志,[flæɡ]
527,,1.0,teacher,n.,教师，教员,[ˈtiːtʃə(r)]
528,,2.0,student,n.,学生,[ˈstjuːdnt]
529,,3.0,classmate,n.,同班同学,[ˈklɑːsmeɪt]
530,,4.0,monitor,n.,（班级内的）班长；纠察生；监视器,[ˈmɒnɪtə(r)]
531,,5.0,pupil,n.,（小）学生,[ˈpjuːpl]
532,,1.0,rule,n.&v.,规则，规定；统治,[ruːl]
533,,2.0,lecture,n.,讲课；演讲,[ˈlektʃə(r)]
534,,1.0,bag,n.,书包；提包；袋子,[bæɡ]
535,,2.0,schoolbag,n.,书包,[ˈskuːlˌbæg]
536,,3.0,pen,n.,钢笔，笔,[pen]
537,,4.0,pencil,n.,铅笔,[ˈpensl]
538,*,5.0,crayon,n.,蜡笔；蜡笔画,[ˈkreɪən]
539,,6.0,eraser,n.,橡皮擦,[ɪˈreɪzə(r)]
540,*,7.0,rubber,n.,橡胶；合成橡胶,[ˈrʌbə(r)]
541,,8.0,book,n.,书；本子,[bʊk]
542,,9.0,page,n.,页，页码,[peɪdʒ]
543,,10.0,ink,n.,墨水，油墨,[ɪŋk]
544,,11.0,map,n.,地图,[mæp]
545,,12.0,note,n.&v.,便条，笔记；注释;钞票，纸币；音符，音调；记下，,[nəʊt]
546,*,13.0,notebook,n.,笔记薄,[ˈnəʊtbʊk]
547,,14.0,dictionary,n.,字典，词典,[ˈdɪkʃənri]
548,,15.0,paper,n.,纸，报纸,[ˈpeɪpə(r)]
549,,16.0,picture,n.,图片，照片，画片,[ˈpɪktʃə(r)]
550,,17.0,kite,n.,风筝,[kaɪt]
551,,1.0,article,n.,文章；东西，物品；冠词,[ˈɑːtɪkl]
552,,2.0,art,n.,艺术，美术；技艺,[ɑːt]
553,,3.0,play,n.&v.,戏剧，玩耍,[pleɪ]
554,*,4.0,poem,n.,诗,[ˈpəʊɪm]
555,,5.0,story,n.,故事，小说,[ˈstɔːri]
556,,6.0,text,n.,文本，课文,[tekst]
557,,7.0,news,n.,新闻，消息,[njuːz]
558,,8.0,newspaper,n.,报纸,[ˈnjuːzpeɪpə(r)]
559,,9.0, magazine,n.,杂志,[ˌmæɡəˈziːn]
560,*,10.0,passage,n.,（文章等的）一节，一段；通道；走廊,[ˈpæsɪdʒ]
561,,11.0,form,n.,表格；形式；结构,[fɔːm]
562,,12.0,joke,n.,笑话,[dʒəʊk]
563,,13.0,daily,n.&adj.,日报；每日的；日常的,[ˈdeɪli]
564,,14.0,copy,n.,抄本，副本；一本（份册……）,[ˈkɒpi]
565,*,15.0,symbol,n.,符号，记号，象征,[ˈsɪmbl]
566,*,16.0,tale,n.,故事，传说,[teɪl]
567,,1.0,subject,n.,学科；题目；主题；主语；主体,"[ˈsʌbdʒɪkt , səbˈdʒekt]"
568,,2.0,English,n.,英语,[ˈɪŋɡlɪʃ]
569,,3.0,Chinese,n.,中文,[ˌtʃaɪˈniːz]
570,,4.0,maths ,n.,（通常用作单数）数学,[mæθs]
571,,5.0,science,n.,科学，自然科学,[ˈsaɪəns]
572,,6.0,art,n.,美术，艺术；技艺,[ɑːt]
573,,7.0,music,n.,音乐，乐曲,[ˈmjuːzɪk]
574,,8.0,PE,n.,体育,[ˌpiː ˈiː]
575,,9.0,history,n.,历史，历史学,[ˈhɪstri]
576,,10.0,geography,n.,地理学,[dʒiˈɒɡrəfi]
577,,11.0,physics,n.,物理（学）,[ˈfɪzɪks]
578,,12.0,chemistry,n.,化学,[ˈkemɪstri]
579,*,13.0,primary,adj.,初级的；初等的,[ˈpraɪməri]
580,,14.0,middle,n.,中间；当中；中级,[ˈmɪdl]
581,,1.0,like,v.,喜欢，喜爱,[laɪk]
582,,2.0,enjoy,v.,欣赏；享受……之乐趣；喜欢,[ɪnˈdʒɔɪ]
583,,3.0,love,n.,爱；爱情 v. 热爱；很喜欢,[lʌv]
584,*,4.0,satisfy,v.,使满意，满足,[ˈsætɪsfaɪ]
585,,5.0,favourite ,adj.,喜爱的（＝like...best） n. 特别喜爱的人,[ˈfeɪvərɪt]
586,,6.0,care,v.,关心；在乎；介意……,[keə(r)]
587,,7.0,dear,adj.,亲爱的；贵的,[dɪə(r)]
588,,8.0,hate,v.&n.,恨，讨厌；憎恶，憎恨,[heɪt]
589,,9.0,hobby,n.,业余爱好，嗜好,[ˈhɒbi]
590,,10.0,interest,n.,兴趣，趣味；利息,[ˈɪntrəst]
591,,11.0,good,adj.,好的；良好的,[ɡʊd]
592,,12.0,well,adv.,好地，令人满意地；完全地,[wel]
593,,13.0,bad,adj.,坏的；有害的，不利的；严重的,[bæd]
594,,1.0,activity,n.,活动,[ækˈtɪvəti]
595,*,2.0,camp,n.,（夏令）营 v.野营；宿营,[kæmp]
596,,3.0,walk,n.&v.,步行；散步,[wɔːk]
597,,4.0,climb,v.,爬，攀登,[klaɪm]
598,,5.0,picnic,n.&v.,野餐；去野餐,[ˈpɪknɪk]
599,,6.0,special,adj.,特别的，专门的,[ˈspeʃl]
600,*,1.0,sense,n.,感觉，意识,[sens]
601,,2.0,hope,n.&v.,希望,[həʊp]
602,,3.0,wish,n.,愿望，祝愿 v. 希望，想要，祝愿,[wɪʃ]
603,,5.0,dream,n.,梦；梦想 v. 做梦,[driːm]
604,,6.0,luck,n.,运气，好运,[lʌk]
605,,7.0,lucky,adj.,运气好的，侥幸的,[ˈlʌki]
606,,8.0,please,v.,请；使人喜欢，使人满意,[pliːz]
607,,9.0,imagine,v.,想象，设想,[ɪˈmædʒɪn]
608,*,10.0,effort,n.,努力，艰难的尝试,[ˈefət]
609,,1.0,sad,adj.,（使人）悲伤的,[sæd]
610,,2.0,cry,n.,叫喊；哭声 v. 喊叫；哭,[kraɪ]
612,*,4.0,sleepy,adj.,困倦的，想睡的，瞌睡的,[ˈsliːpi]
613,,5.0,tired,adj.,累的，疲劳的,[ˈtaɪəd]
614,,6.0,worry,n.,烦恼，忧虑，苦恼 v. （使）烦恼，（使）焦虑，（使）苦恼，,[ˈwʌri]
615,,7.0,trouble,v.,使苦恼，使忧虑，使麻烦 n.烦恼，麻烦，问题，疾病,[ˈtrʌbl]
616,,8.0,nervous,adj.,紧张不安的,[ˈnɜːvəs]
617,,9.0,pity,n.,怜悯，同情,[ˈpɪti]
618,*,10.0,regret,v.,可惜，遗憾；痛惜；哀悼,[rɪˈɡret]
619,,11.0,fear,n.,害怕；恐怖；担忧,[fɪə(r)]
620,*,12.0,afraid,adj.,害怕的；担心的,[əˈfreɪd]
621,,13.0,strange,adj.,奇怪的，奇特的；陌生的,[streɪndʒ]
622,,14.0,angry,adj.,生气的，愤怒的,[ˈæŋɡri]
623,*,15.0,shame,n.,遗憾的事；羞愧,[ʃeɪm]
624,*,16.0,mad,adj.,生气的；发疯的,[mæd]
625,,17.0,alone,adj.,单独的，独自的,[əˈləʊn]
626,,18.0,lonely,adj.,孤独的，寂寞的,[ˈləʊnli]
627,,19.0,express,v.,表达；表示；表情,[ɪkˈspres]
628,,20.0,feeling,n.,感情，感觉,[ˈfiːlɪŋ]
629,*,21.0,crazy,adj.,疯狂的,[ˈkreɪzi]
630,,22.0,asleep,adj.,睡着的，熟睡的,[əˈsliːp]
631,,1.0,glad,adj.,高兴的；乐意的,[ɡlæd]
632,,2.0,nice,adj.,令人愉快的；好的，漂亮的,[naɪs]
633,,3.0,pleased,adj.,高兴的,[pliːzd]
634,,4.0,pleasure,n.,高兴，愉快,[ˈpleʒə(r)]
635,*,5.0,cheer,v.,欢呼；喝彩,[tʃɪə(r)]
636,,6.0,pride,n.,自豪，骄傲,[praɪd]
637,,7.0,proud,adj.,自豪的；骄傲的,[praʊd]
638,,8.0,laugh,n.&v.,笑，笑声；笑，大笑；嘲笑,[lɑːf]
639,,9.0,smile,n.&v.,微笑,[smaɪl]
640,*,10.0,joy,n.,欢乐，高兴，乐趣,[dʒɔɪ]
641,,1.0,meet,v.,遇见，见到,[miːt]
642,,2.0,party,n.,晚会，聚会；党派,[ˈpɑːti]
643,,3.0,miss,v.,失去，错过，缺；想念,[mɪs]
644,,4.0,connect,v.,连接，把……联系起来,[kəˈnekt]
645,,5.0,communicate,v.,交际；传达（感情、信息等）,[kəˈmjuːnɪkeɪt]
646,*,6.0,communication,n.,交流；交往；通信,[kəˌmjuːnɪˈkeɪʃn]
647,,7.0,together,adv.,一起，共同,[təˈɡeðə(r)]
648,,8.0,conversation,n.,谈话，交谈,[ˌkɒnvəˈseɪʃn]
649,,9.0,discuss,v.,讨论，议论,[dɪˈskʌs]
650,,10.0,discussion,n.,讨论，辩论,[dɪˈskʌʃn]
651,*,11.0,praise,v.,赞扬，表扬,[preɪz]
652,,13.0,introduce,v.,介绍；引荐,[ˌɪntrəˈdjuːs]
653,*,14.0,introduction,n.,介绍；引进,[ˌɪntrəˈdʌkʃn]
654,,15.0,postcard,n.,明信片,[ˈpəʊstkɑːd]
655,,16.0,attend,v.,参加,[əˈtend]
657,,18.0,thank,v.,感谢，致谢，道谢 n. （复）感谢，谢意,[θæŋk]
658,,19.0,sorry,adj.,对不起的，抱歉的；难过的,[ˈsɒri]
659,,20.0,pardon,n.&v.,原谅，宽恕,[ˈpɑːdn]
660,,21.0,excuse,n.,借口；辩解 v. 原谅；宽恕,"[ɪkˈskjuːs , ɪkˈskjuːz]"
661,,22.0,mind,v.,介意，关心,[maɪnd]
662,,23.0,invite,v.,邀请，招待,"[ɪnˈvaɪt , ˈɪnvaɪt]"
663,,24.0,ask,v.,问，询问；请求，要求；邀请,[ɑːsk]
664,,25.0,share,v.,分享，共有，共用,[ʃeə(r)]
665,*,26.0,greeting,n.,祝贺,[ˈɡriːtɪŋ]
666,,27.0,secret,n.,秘密，内情,[ˈsiːkrət]
667,,28.0,ability,n.,能力；才能,[əˈbɪləti]
668,*,29.0,absent,adj.,缺席，不在,"[ˈæbsənt , æbˈsent]"
670,*,32.0,cheat,n.&v.,骗取，哄骗；作弊,[tʃiːt]
671,,33.0,dialogue,n.,对话,[ˈdaɪəlɒɡ]
672,,34.0,sorry,adj.,对不起；抱歉的；难过的,[ˈsɒri]
673,,1.0,idea,n.,主意，意见；打算，想法,[aɪˈdɪə]
674,,2.0,thought,n.,思考，思想；念头,[θɔːt]
675,,3.0,comment,n.,意见；评论,[ˈkɒment]
676,*,4.0,purpose,n.,目的；意图,[ˈpɜːpəs]
677,,5.0,advice,n.,忠告，建议，劝告,[ədˈvaɪs]
678,*,6.0,advise,v.,忠告，建议，劝告,[ədˈvaɪz]
679,,7.0,opinion,n.,意见；看法；主张,[əˈpɪnjən]
680,,8.0,against,prep.,反对；对着；靠着；倚着,[əˈɡenst]
681,*,9.0,traditional,adj.,传统的，惯例的,[trəˈdɪʃənl]
682,,10.0,personal,adj.,私人的,[ˈpɜːsənl]
683,*,11.0,private,adj.,私人的；秘密的,[ˈpraɪvət]
684,,12.0,believe,v.,相信，认为,[bɪˈliːv]
685,,13.0,wonder,v.,想知道，对……疑惑，感到惊奇,[ˈwʌndə(r)]
686,*,14.0,conference,n.,（正式的）会议；讨论,[ˈkɒnfərəns]
687,*,15.0,insist,v.,坚持；坚决认为,[ɪnˈsɪst]
688,*,16.0,suggestion,n.,建议,[səˈdʒestʃən]
689,,17.0,suggest,v.,建议，提议,[səˈdʒest]
690,,1.0,say,v.,说，讲,[seɪ]
691,,2.0,talk,n.&v.,谈话，讲话，演讲；交谈,[tɔːk]
692,,3.0,speak,v.,说，讲；谈话；发言,[spiːk]
693,,4.0,tell,v.,告诉；讲述；吩咐,[tel]
694,,5.0,voice,n.,说话声；语态,[vɔɪs]
695,,6.0,reason,n.,理由，原因,[ˈriːzn]
696,*,7.0,promise,v.,答应，允诺,[ˈprɒmɪs]
697,,8.0,explain,v.,解释，说明,[ɪkˈspleɪn]
698,*,9.0,mention,v.,提到，说起；提名表扬,[ˈmenʃn]
699,,10.0,mean,v.,意思是，意指,[miːn]
700,,11.0,lie,n.,谎言,[laɪ]
701,,1.0,help,n.&v.,帮助，帮忙,[help]
702,*,3.0,available,adj.,可用到的，可利用的,[əˈveɪləbl]
703,,1.0,find,v.,找到；发现；感到,[faɪnd]
704,,5.0,discover,v.,发现,[dɪˈskʌvə(r)]
705,*,6.0,discovery,n.,发现,[dɪˈskʌvəri]
706,,7.0,invent,v.,发明，创造,[ɪnˈvent]
707,,8.0,invention,n.,发明，创造,[ɪnˈvenʃn]
708,,9.0,create,v.,创造；造成,[kriˈeɪt]
709,,1.0,borrow,v.,（向别人）借用；借,[ˈbɒrəʊ]
710,,2.0,lend,v.,借（出），把……借给,[lend]
711,,3.0,keep,v.,保持；保存，继续不断；培育，饲养,[kiːp]
712,,1.0,bring,v.,拿来，带来，取来,[brɪŋ]
713,,2.0,take,v.,拿；拿走；做；服用；乘坐；花费,[teɪk]
714,,3.0,fetch,v.,（去）取（物）来，（去）带（人）来,[fetʃ]
715,,4.0,carry,v.,拿，搬，带，提，抬，背，抱，运等,[ˈkæri]
716,,5.0,show,n.,"表演；展览 v. （showed, shown/showed）给……看；出",[ʃəʊ]
717,,1.0,want,v.,想，想要；需要（＝would like）,[wɒnt]
718,,2.0,plan,n.&v.,计划，打算,[plæn]
719,,3.0,decide,v.,决定；下决心,[dɪˈsaɪd]
720,,4.0,decision,n.,决定；决心,[dɪˈsɪʒn]
721,,5.0,depend,v.,依靠，依赖，指望；取决于,[dɪˈpend]
722,,1.0,festival,n.,节日的，喜庆的,[ˈfestɪvl]
723,,2.0,traditional,adj.,传统的，惯例的,[trəˈdɪʃənl]
724,,3.0,spend,v.,度过；花费（钱，时间等）,[spend]
725,,4.0,sight,n.,情景，风景；视力,[saɪt]
726,,5.0,holiday,n.,假日；假期,[ˈhɒlədeɪ]
727,,6.0,vacation,n.,假期，休假,[veɪˈkeɪʃn]
728,,7.0,Christmas,n.,圣诞节（12 月 25 日）,[ˈkrɪsməs]
729,,13.0,gift,n.,礼物；赠品,[ɡɪft]
730,,16.0,weekday,n.,工作日，平日,[ˈwiːkdeɪ]
731,,1.0,o,n.,点钟,[əʊ]
732,,2.0,noon,n.,中午,[nuːn]
733,,4.0,moment,n.,片刻，瞬间,[ˈməʊmənt]
734,,6.0,quarter,n.,一刻钟,[ˈkwɔːtə(r)]
735,,7.0,now,adv.,现在,[naʊ]
736,,9.0,present,adj.,现在的,"[ˈpreznt , prɪˈzent]"
737,,11.0,when,conj.,当……的时候,[wen]
738,*,15.0,sudden,adj.,突然的,[ˈsʌdn]
739,,1.0,today,adv.&n.,今天，现在，当前,[təˈdeɪ]
740,,2.0,tomorrow,adv.&n.,明天,[təˈmɒrəʊ]
741,,3.0,yesterday,adv.&n.,昨天,[ˈjestədeɪ]
742,,4.0,tonight,adv.&n.,今晚，今夜,[təˈnaɪt]
743,,7.0,morning,n.,早晨，上午,[ˈmɔːnɪŋ]
744,,8.0,afternoon,n.,下午，午后,[ˌɑːftəˈnuːn]
745,,9.0,evening,n.,傍晚，晚上,[ˈiːvnɪŋ]
746,,11.0,night,n.,夜；夜间,[naɪt]
747,,13.0,day,n.,(一)天，（一）日；白天,[deɪ]
748,,15.0,second,n.,秒,"[ˈsekənd , sɪˈkɒnd]"
749,,16.0,minute,n.,分钟；一会儿，瞬间,"[ˈmɪnɪt , maɪˈnjuːt]"
750,,17.0,hour,n.,小时,[ˈaʊə(r)]
751,,19.0,week,n.,周，星期,[wiːk]
752,,20.0,month,n.,月，月份,[mʌnθ]
753,,21.0,year,n.,年,[jɪə(r)]
754,,22.0,century,n.,世纪，百年,[ˈsentʃəri]
755,,23.0,future,n.,将来；未来,[ˈfjuːtʃə(r)]
756,*,29.0,recent,adj.,近来的，最后的,[ˈriːsnt]
757,*,1.0,period,n.,时代，时期,[ˈpɪəriəd]
758,,2.0,time,n.,时间；时期；钟点；次，回,[taɪm]
759,,3.0,after,adv.,在之后；后来 prep. 在……后；在……后面 conj. 在……后,[ˈɑːftə(r)]
760,,5.0,before,conj.,在……之前,[bɪˈfɔː(r)]
761,,6.0,ago,adv.,以前,[əˈɡəʊ]
762,,7.0,later,adv.,后来,[ˈleɪtə(r)]
763,,8.0,late,adj.,迟的，晚的,[leɪt]
764,,9.0,early,adj.,早的,[ˈɜːli]
765,,10.0,during,prep.,在……期间；在……过程中,[ˈdjʊərɪŋ]
766,,11.0,recently,adv.,最近,[ˈriːsntli]
767,,12.0,since,prep.,从……以来,[sɪns]
768,,14.0,for,prep.,为了……；向……；往……；与……交换；因为……；在……,"[fɔː(r) , fə(r)]"
769,,15.0,soon,adv.,不久，很快，一会儿,[suːn]
770,,16.0,until,prep.&conj.,直到……为止；在……以前；到……为止；在……,[ənˈtɪl]
771,,17.0,while,conj.,在……的时候，和……同时 n.一会儿，一段时间,[waɪl]
772,,18.0,by,prep.,靠近，在……旁，在……时间；不迟于；被；用；由；乘,[baɪ]
773,,19.0,last,v.,持续,[lɑːst]
774,,20.0,forever,adv.,永远,[fərˈevə(r)]
775,,1.0, week,n.,星期,[wiːk]
776,,2.0, Monday,n.,星期一,[ˈmʌndeɪ]
777,,3.0, Tuesday,n.,星期二,[ˈtjuːzdeɪ]
778,,4.0, Wednesday,n.,星期三,[ˈwenzdeɪ]
779,,5.0, Thursday,n.,星期四,[ˈθɜːzdeɪ]
780,,6.0, Friday,n.,星期五,[ˈfraɪdeɪ]
781,,7.0, Saturday,n.,星期六,[ˈsætədeɪ]
782,,8.0, Sunday,n.,星期日,[ˈsʌndeɪ]
783,,9.0, weekday,n.,工作日,[ˈwiːkdeɪ]
784,,10.0, date,n.,日期,[deɪt]
785,,1.0, month,n.,月份,[mʌnθ]
786,,2.0, January,n.,一月,[ˈdʒænjuəri]
787,,3.0, February,n.,二月,[ˈfebruəri]
788,,4.0, March,n.,三月,[mɑːtʃ]
789,,5.0, April,n.,四月,[ˈeɪprəl]
790,,6.0, May,n.,五月,[meɪ]
791,,7.0, June,n.,六月,[dʒuːn]
792,,8.0, July,n.,七月,[dʒuˈlaɪ]
793,,9.0, August,n.,八月,[ˈɔːɡəst]
794,,10.0, September,n.,九月,[sepˈtembə(r)]
795,,11.0, October,n.,十月,[ɒkˈtəʊbə(r)]
796,,12.0, November,n.,十一月,[nəʊˈvembə(r)]
797,,13.0, December,n.,十二月,[dɪˈsembə(r)]
798,,1.0,clothes,n.,衣服；各种衣物,[kləʊðz]
799,,2.0,coat,n.,外套；皮毛；涂层 v. 给……穿外套；涂上,[kəʊt]
800,,3.0,shirt,n.,男衬衫,[ʃɜːt]
801,,4.0,skirt,n.,女裙,[skɜːt]
802,,5.0,sweater,n.,厚运动衫，毛衣,[ˈswetə(r)]
803,*,6.0,shorts,n.,短裤；运动短裤,[ʃɔːts]
804,,7.0,trousers,n.,裤子，长裤,[ˈtraʊzəz]
805,,8.0,T,n.,T 恤衫,[tiː]
806,,9.0,belt,n.,腰带；裤袋,[belt]
807,,10.0,pocket,n.,（衣服的）口袋,[ˈpɒkɪt]
808,,11.0,cap,n.,(无檐的或仅在前面有檐的)帽子；（瓶子的）盖；（钢笔等的）,[kæp]
809,,12.0,hat,n.,帽子（一般指有边的）；礼帽,[hæt]
810,,13.0,dress,n.,女服，连衣裙；（统指）服装；童装 v.穿衣；穿着,[dres]
811,,14.0,glove,n.,手套,[ɡlʌv]
812,,15.0,jacket ,n.,短上衣，夹克衫,[ˈdʒækɪt]
813,*,16.0,jeans,n.,牛仔裤,[dʒiːnz]
814,,17.0,raincoat,n.,雨衣,[ˈreɪnkəʊt]
815,*,18.0,scarf,n.,领巾，围巾,[skɑːf]
816,,19.0,shoe,n.,鞋,[ʃuː]
817,,20.0,socks,n.,短袜,[sɒks]
818,,21.0,tie,n.,领带，绳子，结；关系,[taɪ]
819,*,22.0,overcoat,n.,大衣,[ˈəʊvəkəʊt]
820,,1.0,colour ,n.,颜色 v. 给……着色，涂色,[ˈkʌlə(r)]
821,,2.0,green,n.,绿色 adj. 绿色的；青的,[ɡriːn]
822,,3.0,red,n.,红色 adj. 红色的,[red]
823,,4.0,blue,n.,蓝色 adj. 蓝色的；悲伤的，沮丧的,[bluː]
824,,5.0,black,n.,黑色 adj. 黑色的,[blæk]
825,,6.0,yellow,n.,黄色 adj. 黄色的,[ˈjeləʊ]
826,,7.0,purple,n.,紫色 adj. 紫色的,[ˈpɜːpl]
827,,8.0,white,n.,白色 adj. 白色的,[waɪt]
828,,9.0,brown,n.,褐色；棕色 adj. 褐色的；棕色的,[braʊn]
829,,10.0,pink,adj.,粉红色的,[pɪŋk]
830,,11.0,light,adj.,浅色的,[laɪt]
831,,12.0,dark,adj.,暗色的,[dɑːk]
832,*,13.0,golden,adj.,金的；黄金的,[ˈɡəʊldən]
833,*,14.0,silver,n.,银； adj. 银色的,[ˈsɪlvə(r)]
834,,15.0,white,adj.,雪（白）的,[waɪt]
835,*,16.0,pale,adj.,苍白的,[peɪl]
836,,1.0,shape,n.,形状；外形 v. 使成形；构造；塑造,[ʃeɪp]
